name year month day tmin tmax
HSD_AT_114561 1971 12 2 -0.7 -0.8
HSD_AT_114561 1977 12 13 -1 -1.1
HSD_AT_114561 1987 12 1 1.1 0.5
HSD_AT_114603 1956 1 31 -8.3 -11.1
HSD_AT_114603 1963 1 10 -1.7 -1.8
HSD_AT_114603 1978 11 27 0.4 -0.7
HSD_AT_114603 1978 11 28 -3.5 -4
HSD_AT_114603 1997 1 6 -0.2 -1
HSD_AT_114603 2000 10 9 5.2 5.1
HSD_AT_114603 2006 2 23 1 0.6
HSD_AT_114603 2014 1 24 1.2 0.7
HSD_AT_114603 2014 2 1 1.3 0.6
HSD_AT_114603 2014 2 2 0.6 0
HSD_AT_114603 2014 2 3 -0.7 -1.2
HSD_AT_114629 2025 12 25 -0.8 -0.9
HSD_AT_114694 1952 2 14 -4.5 -5
HSD_AT_114694 1956 1 31 -8.4 -9.1
